CO(GT),NOx(GT),NO2(GT),C6H6(GT)
2.1,139.0,96.0,11.0
1.8,113.0,91.0,11.6
2.2,138.0,104.0,12.9
2.0,104.0,84.0,12.6
1.4,78.0,76.0,8.3
1.8,97.0,87.0,10.5
2.1,115.0,101.0,11.7
2.8,152.0,115.0,15.8
2.8,157.0,110.0,13.9
2.7,132.0,103.0,15.7
1.8,98.0,90.0,10.9
1.2,65.0,68.0,6.4
2.6,101.0,85.0,12.7
3.1,134.0,100.0,15.3
4.1,177.0,114.0,20.5
3.6,179.0,108.0,15.9
1.9,105.0,78.0,10.4
1.9,105.0,78.0,12.6
1.9,49.0,55.0,4.9
0.3,27.0,37.0,2.1
0.4,41.0,53.0,2.2
0.8,78.0,79.0,4.0
0.8,68.0,65.0,4.3
0.8,64.0,64.0,3.8
0.8,67.0,66.0,4.1
0.9,54.0,53.0,4.5
1.2,67.0,69.0,5.3
1.0,51.0,57.0,4.2
0.8,28.0,36.0,3.3
1.1,51.0,57.0,4.9
1.5,77.0,73.0,6.1
1.5,93.0,81.0,6.9
1.4,94.0,91.0,6.8
1.1,69.0,65.0,5.8
0.9,57.0,56.0,5.5
1.0,74.0,69.0,6.1
1.1,75.0,73.0,6.0
1.0,73.0,76.0,4.2
0.7,56.0,67.0,4.1
0.5,31.0,44.0,2.4
0.2,13.0,21.0,1.0
0.2,13.0,21.0,0.6
0.2,14.0,19.0,0.5
0.1,23.0,29.0,0.7
0.5,72.0,69.0,2.8
1.6,165.0,111.0,7.8
2.0,118.0,81.0,9.7
1.3,85.0,56.0,6.9
1.0,116.0,90.0,5.8
0.9,112.0,85.0,5.5
1.2,100.0,83.0,6.8
1.3,109.0,85.0,7.2
1.1,111.0,85.0,6.9
1.2,109.0,81.0,7.5
1.4,114.0,92.0,7.7
2.0,139.0,108.0,12.0
2.4,157.0,106.0,13.5
2.1,147.0,114.0,12.0
1.2,102.0,96.0,6.7
0.7,73.0,77.0,4.8
0.7,65.0,73.0,4.8
0.8,76.0,86.0,5.0
0.5,65.0,84.0,4.3
0.2,41.0,56.0,2.7
0.2,17.0,31.0,0.9
0.2,17.0,31.0,1.2
0.2,19.0,30.0,0.9
0.1,45.0,51.0,1.7
0.2,40.0,45.0,2.6
1.1,101.0,82.0,8.8
3.0,183.0,100.0,22.2
2.1,149.0,91.0,15.3
2.6,207.0,130.0,14.0
3.2,289.0,155.0,18.5
2.1,159.0,114.0,13.5
2.2,162.0,127.0,15.8
2.4,173.0,138.0,18.5
2.4,173.0,138.0,12.6
2.4,173.0,138.0,12.0
2.4,173.0,138.0,15.4
2.4,173.0,138.0,24.9
4.0,173.0,138.0,40.2
2.2,188.0,136.0,14.9
1.8,159.0,135.0,13.8
1.6,146.0,115.0,12.3
1.8,127.0,112.0,14.0
1.6,128.0,112.0,11.8
1.6,120.0,109.0,12.0
1.3,115.0,112.0,9.7
1.3,115.0,112.0,18.0
1.3,115.0,112.0,22.6
1.3,115.0,112.0,22.7
1.3,115.0,112.0,20.3
1.3,115.0,112.0,13.1
1.3,115.0,112.0,10.9
1.3,115.0,112.0,13.3
1.3,115.0,112.0,9.5
1.3,115.0,112.0,6.6
1.3,115.0,112.0,3.6
1.3,115.0,112.0,2.3
1.3,115.0,112.0,2.0
1.3,115.0,112.0,4.1
1.3,115.0,112.0,6.5
1.3,115.0,112.0,24.8
1.3,115.0,112.0,34.4
1.3,115.0,112.0,24.5
1.3,115.0,112.0,9.0
1.3,115.0,112.0,8.4
1.3,115.0,112.0,11.5
1.3,115.0,112.0,12.1
1.3,115.0,112.0,10.1
1.3,115.0,112.0,11.9
1.3,115.0,112.0,11.3
1.3,115.0,112.0,20.2
1.3,115.0,112.0,24.8
1.3,115.0,112.0,20.3
1.3,115.0,112.0,16.2
1.3,115.0,112.0,13.3
1.3,115.0,112.0,10.3
1.3,115.0,112.0,9.6
1.3,115.0,112.0,7.8
1.3,115.0,112.0,6.1
1.3,115.0,112.0,6.2
1.3,115.0,112.0,3.8
1.3,115.0,112.0,2.8
1.3,115.0,112.0,3.4
1.3,115.0,112.0,8.2
1.3,115.0,112.0,19.2
1.3,115.0,112.0,22.6
1.3,115.0,112.0,19.4
1.3,115.0,112.0,9.6
1.3,115.0,112.0,9.8
1.3,115.0,112.0,14.4
1.3,115.0,112.0,12.1
1.3,115.0,112.0,13.5
1.7,133.0,115.0,12.3
1.7,131.0,117.0,12.2
2.1,133.0,105.0,12.5
2.2,141.0,114.0,13.9
1.8,112.0,103.0,11.4
1.8,147.0,119.0,10.4
0.9,104.0,102.0,7.0
1.0,97.0,96.0,7.0
2.0,128.0,109.0,11.3
1.8,138.0,119.0,9.2
1.1,93.0,103.0,6.8
0.6,71.0,84.0,5.1
0.3,71.0,84.0,3.4
0.3,44.0,59.0,4.3
0.3,18.0,29.0,1.5
0.1,41.0,45.0,2.0
0.5,84.0,80.0,4.0
0.6,77.0,77.0,4.0
0.5,73.0,68.0,4.0
0.7,72.0,66.0,4.2
0.7,77.0,70.0,4.5
0.9,82.0,74.0,6.0
0.7,67.0,64.0,4.8
0.4,59.0,60.0,3.8
0.5,61.0,63.0,4.2
0.6,76.0,75.0,5.1
0.6,73.0,79.0,5.6
0.8,87.0,83.0,5.8
1.0,98.0,93.0,7.0
1.2,123.0,112.0,7.9
1.0,102.0,103.0,6.5
1.3,102.0,93.0,8.5
2.7,142.0,112.0,13.7
2.7,148.0,125.0,13.8
1.6,107.0,107.0,9.1
0.6,61.0,76.0,6.5
0.3,61.0,76.0,6.2
0.3,43.0,55.0,5.2
0.1,25.0,37.0,3.1
0.1,32.0,45.0,2.9
0.2,48.0,61.0,3.6
0.3,60.0,67.0,2.7
0.3,52.0,60.0,3.0
0.4,58.0,64.0,3.7
0.3,54.0,64.0,3.8
0.3,52.0,59.0,4.2
0.1,34.0,41.0,2.6
0.1,41.0,46.0,2.8
0.2,41.0,46.0,4.2
0.6,65.0,77.0,6.2
0.5,65.0,83.0,5.2
0.9,84.0,90.0,7.7
1.1,89.0,95.0,8.8
1.3,114.0,113.0,10.1
1.5,127.0,128.0,9.8
1.2,117.0,117.0,8.4
0.4,46.0,64.0,5.4
0.2,16.0,28.0,4.3
0.3,27.0,46.0,4.8
0.3,4.0,8.0,2.1
0.3,4.0,8.0,1.4
0.3,19.0,32.0,1.3
0.3,48.0,57.0,2.3
0.5,82.0,60.0,6.5
1.6,167.0,83.0,14.2
3.6,248.0,129.0,22.7
2.2,213.0,137.0,16.3
1.6,161.0,121.0,14.1
1.4,144.0,123.0,12.6
1.4,127.0,120.0,13.1
1.5,116.0,119.0,14.2
1.3,124.0,121.0,13.8
1.2,115.0,111.0,12.1
1.8,150.0,128.0,15.7
3.0,221.0,159.0,21.4
3.5,227.0,161.0,25.0
2.4,156.0,116.0,16.6
1.1,97.0,96.0,10.7
0.8,78.0,69.0,7.5
0.4,60.0,58.0,5.3
0.6,61.0,59.0,6.5
0.3,46.0,45.0,4.7
0.3,17.0,23.0,2.9
0.3,18.0,26.0,2.0
0.3,18.0,26.0,1.1
0.3,16.0,24.0,1.3
0.1,39.0,41.0,2.4
0.3,107.0,65.0,6.1
1.4,190.0,94.0,12.5
2.7,236.0,100.0,19.5
2.3,227.0,103.0,15.2
1.8,211.0,89.0,12.0
1.6,201.0,86.0,12.4
1.9,191.0,89.0,15.9
2.5,192.0,88.0,15.7
1.6,143.0,73.0,13.5
1.5,148.0,78.0,12.4
2.5,183.0,95.0,17.1
3.6,216.0,109.0,22.0
3.5,184.0,95.0,19.9
4.8,248.0,101.0,27.9
3.7,221.0,88.0,19.7
2.1,159.0,77.0,15.7
1.6,136.0,75.0,12.0
2.2,168.0,81.0,13.1
0.8,95.0,57.0,9.2
0.8,70.0,49.0,7.5
0.8,43.0,38.0,4.9
0.8,43.0,38.0,5.2
0.8,30.0,31.0,3.2
0.8,22.0,23.0,2.4
0.8,25.0,22.0,2.8
0.8,48.0,33.0,3.9
0.8,73.0,43.0,6.9
0.8,95.0,53.0,8.5
0.8,86.0,54.0,8.9
0.8,102.0,62.0,8.8
0.8,80.0,53.0,7.4
0.8,36.0,34.0,4.7
0.8,32.0,30.0,4.8
0.8,46.0,37.0,6.8
0.8,61.0,47.0,8.9
0.8,59.0,44.0,8.1
0.8,76.0,53.0,10.5
0.8,145.0,88.0,14.8
0.8,140.0,95.0,11.8
0.8,102.0,82.0,8.7
0.8,89.0,59.0,8.7
0.8,62.0,43.0,6.9
0.8,69.0,51.0,7.3
0.8,63.0,49.0,6.9
0.8,31.0,36.0,4.6
0.8,31.0,36.0,1.3
0.8,17.0,24.0,1.7
0.8,61.0,58.0,3.2
0.8,184.0,73.0,10.1
0.8,248.0,74.0,19.9
0.8,220.0,97.0,20.2
0.8,243.0,108.0,20.8
0.8,164.0,93.0,15.1
0.8,164.0,93.0,10.9
0.8,164.0,93.0,11.1
0.8,164.0,93.0,12.1
0.8,164.0,93.0,8.6
0.8,164.0,93.0,9.7
0.8,164.0,93.0,11.0
0.8,164.0,93.0,16.6
0.8,164.0,93.0,14.7
0.8,164.0,93.0,19.5
0.8,164.0,93.0,14.5
0.8,164.0,93.0,7.8
0.8,164.0,93.0,7.8
0.8,164.0,93.0,7.8
0.8,164.0,93.0,8.5
0.8,164.0,93.0,5.7
0.8,164.0,93.0,4.5
0.8,164.0,93.0,5.6
0.8,164.0,93.0,4.6
0.8,164.0,93.0,1.2
0.8,164.0,93.0,3.4
0.8,164.0,93.0,17.0
0.8,164.0,93.0,10.0
0.8,164.0,93.0,6.0
0.8,164.0,93.0,5.7
0.8,164.0,93.0,6.9
0.8,164.0,93.0,9.5
0.8,164.0,93.0,11.1
0.8,164.0,93.0,8.1
0.8,164.0,93.0,10.2
2.7,164.0,93.0,13.3
3.6,164.0,93.0,16.6
3.3,164.0,93.0,16.9
3.6,164.0,93.0,17.5
2.9,164.0,93.0,13.1
1.9,164.0,93.0,9.2
2.0,164.0,93.0,10.0
2.9,164.0,93.0,13.1
2.7,164.0,93.0,12.9
1.5,164.0,93.0,7.8
1.6,164.0,93.0,9.2
1.3,164.0,93.0,6.9
0.7,37.0,63.0,4.5
0.7,57.0,71.0,4.9
1.2,131.0,91.0,7.9
1.5,171.0,95.0,7.4
1.5,187.0,96.0,8.0
1.6,133.0,81.0,7.6
1.1,87.0,68.0,5.3
1.1,61.0,57.0,5.3
1.4,86.0,68.0,8.0
1.4,83.0,72.0,8.4
1.0,61.0,62.0,6.0
1.3,80.0,75.0,7.3
1.9,110.0,92.0,10.2
1.7,108.0,89.0,9.0
2.3,134.0,105.0,14.0
2.4,133.0,111.0,16.1
1.8,118.0,102.0,8.2
0.6,17.0,30.0,3.8
0.8,26.0,43.0,5.6
1.7,55.0,67.0,8.0
1.1,39.0,58.0,5.6
0.6,15.0,24.0,3.8
1.1,47.0,58.0,6.6
1.1,47.0,58.0,7.0
1.0,49.0,62.0,5.2
0.5,21.0,34.0,2.4
0.7,33.0,46.0,3.1
1.0,63.0,62.0,5.2
1.2,73.0,70.0,5.9
0.7,51.0,54.0,2.8
0.9,61.0,61.0,3.4
0.8,52.0,53.0,3.0
0.8,49.0,49.0,3.4
0.5,40.0,48.0,2.3
0.5,36.0,45.0,2.7
0.7,51.0,60.0,3.6
0.9,56.0,59.0,4.2
1.0,71.0,67.0,4.9
1.2,79.0,72.0,5.9
1.3,117.0,88.0,6.6
1.6,127.0,94.0,7.6
1.4,118.0,89.0,7.0
1.7,130.0,96.0,7.5
1.7,131.0,98.0,8.4
1.4,102.0,95.0,7.0
0.8,48.0,64.0,3.9
0.4,22.0,38.0,2.6
0.3,22.0,38.0,2.0
0.3,22.0,34.0,2.1
0.5,44.0,40.0,2.4
1.5,167.0,76.0,9.6
2.6,220.0,90.0,15.4
4.3,285.0,118.0,25.0
3.1,272.0,118.0,15.1
2.9,238.0,122.0,17.4
2.5,207.0,120.0,14.1
1.9,152.0,132.0,11.8
2.5,185.0,115.0,14.9
2.5,184.0,127.0,16.0
2.8,205.0,126.0,16.5
2.3,172.0,113.0,15.2
3.3,227.0,124.0,18.9
2.8,187.0,108.0,19.0
4.8,290.0,142.0,28.9
2.5,155.0,125.0,13.4
2.0,108.0,116.0,10.9
1.8,94.0,101.0,8.9
1.7,103.0,101.0,8.5
1.3,78.0,92.0,6.7
0.7,38.0,55.0,4.2
0.5,26.0,42.0,2.5
0.4,26.0,42.0,1.7
0.3,19.0,30.0,1.4
0.5,35.0,40.0,2.8
1.4,126.0,69.0,8.8
3.3,309.0,100.0,19.4
5.8,376.0,125.0,36.1
5.0,441.0,174.0,27.1
3.5,309.0,171.0,19.0
2.9,220.0,149.0,16.9
2.5,168.0,124.0,15.7
2.3,149.0,119.0,14.1
2.4,160.0,130.0,16.5
2.6,177.0,143.0,14.8
2.2,177.0,143.0,13.0
3.5,176.0,183.0,21.4
3.9,202.0,161.0,23.6
4.5,255.0,170.0,25.0
3.8,210.0,143.0,21.6
2.8,157.0,123.0,15.7
1.7,96.0,89.0,10.9
1.2,59.0,67.0,8.1
1.6,81.0,81.0,10.2
1.0,40.0,54.0,7.5
0.9,42.0,57.0,5.8
0.5,42.0,57.0,3.8
0.5,31.0,51.0,3.3
0.5,54.0,58.0,4.0
1.0,88.0,69.0,8.1
3.5,261.0,107.0,22.3
6.4,357.0,151.0,36.9
2.9,265.0,146.0,17.5
3.4,247.0,165.0,19.3
2.8,189.0,159.0,17.6
2.8,168.0,174.0,18.6
2.8,183.0,167.0,18.0
2.3,157.0,137.0,14.0
1.8,113.0,116.0,10.9
2.0,140.0,125.0,11.1
3.5,230.0,194.0,21.6
4.9,277.0,222.0,27.6
4.6,295.0,206.0,25.6
3.4,212.0,162.0,18.6
2.7,151.0,132.0,15.2
1.9,110.0,107.0,11.7
1.5,83.0,84.0,8.7
1.0,48.0,61.0,7.6
0.7,27.0,42.0,5.2
1.0,48.0,66.0,5.9
0.6,48.0,66.0,4.0
0.6,33.0,50.0,3.3
0.9,75.0,76.0,5.4
1.2,101.0,78.0,8.7
2.9,214.0,104.0,19.9
4.8,290.0,139.0,30.4
4.3,311.0,166.0,24.6
3.1,234.0,151.0,16.9
2.4,157.0,134.0,13.6
2.8,165.0,148.0,15.3
2.5,137.0,126.0,14.1
2.6,149.0,144.0,17.0
2.3,140.0,133.0,13.8
2.4,139.0,139.0,13.6
3.5,221.0,178.0,21.2
4.8,318.0,206.0,25.9
5.1,363.0,211.0,25.4
4.7,341.0,180.0,23.6
2.4,163.0,116.0,12.0
2.5,157.0,118.0,14.2
2.7,202.0,115.0,14.2
1.5,102.0,96.0,10.4
1.1,70.0,86.0,7.5
0.6,41.0,65.0,3.5
0.5,41.0,65.0,2.5
0.4,36.0,53.0,2.6
0.6,68.0,74.0,4.0
1.0,92.0,69.0,7.0
4.6,332.0,131.0,24.8
4.8,333.0,134.0,28.9
4.0,298.0,148.0,21.5
4.0,298.0,148.0,12.9
2.0,146.0,148.0,12.2
2.0,120.0,111.0,13.1
2.0,108.0,110.0,13.3
1.9,109.0,110.0,12.5
1.9,124.0,116.0,13.0
1.9,127.0,120.0,12.3
2.6,185.0,142.0,15.2
3.2,230.0,146.0,19.1
3.4,265.0,153.0,19.7
3.4,261.0,158.0,18.6
2.9,219.0,140.0,16.1
2.7,180.0,127.0,15.0
1.3,108.0,97.0,7.3
1.3,98.0,91.0,8.9
0.9,57.0,68.0,6.6
0.6,36.0,52.0,4.3
0.5,36.0,52.0,3.2
0.5,45.0,58.0,4.1
0.9,87.0,78.0,6.0
0.7,62.0,61.0,5.6
0.6,65.0,64.0,4.8
1.3,125.0,81.0,8.9
1.9,157.0,92.0,13.1
2.1,171.0,101.0,14.1
1.8,119.0,96.0,11.2
1.8,110.0,101.0,10.0
1.6,95.0,91.0,9.6
1.2,58.0,68.0,7.2
1.2,69.0,76.0,8.6
1.4,76.0,84.0,9.0
1.3,63.0,76.0,7.9
1.1,51.0,61.0,6.2
1.1,46.0,52.0,6.3
1.1,52.0,59.0,6.3
1.8,84.0,89.0,11.2
2.3,130.0,113.0,12.8
2.6,147.0,112.0,13.2
2.0,126.0,89.0,9.2
1.0,47.0,53.0,5.8
0.6,24.0,36.0,3.4
0.6,24.0,36.0,4.1
0.5,25.0,39.0,3.1
0.4,21.0,33.0,2.2
0.4,25.0,37.0,1.5
0.4,25.0,36.0,1.3
0.4,30.0,42.0,1.2
0.5,42.0,52.0,1.7
0.6,52.0,60.0,2.5
0.7,62.0,74.0,2.5
0.7,67.0,65.0,2.7
0.6,47.0,52.0,1.9
0.5,35.0,40.0,1.8
0.6,45.0,49.0,2.4
0.8,53.0,56.0,2.6
0.8,57.0,59.0,3.0
1.0,71.0,68.0,2.9
1.0,67.0,72.0,3.5
1.0,75.0,78.0,3.6
0.9,65.0,71.0,3.6
0.7,45.0,54.0,2.3
0.8,46.0,57.0,2.6
0.7,33.0,45.0,2.0
0.5,19.0,30.0,1.2
0.3,9.0,16.0,0.7
0.3,9.0,16.0,0.5
0.3,12.0,18.0,0.5
0.3,21.0,28.0,0.8
0.7,66.0,62.0,3.5
1.5,137.0,92.0,7.0
1.8,151.0,96.0,8.7
1.4,115.0,87.0,6.3
1.5,118.0,84.0,7.0
1.2,95.0,73.0,5.5
1.2,86.0,72.0,5.3
1.3,85.0,68.0,5.5
1.0,66.0,62.0,3.8
1.4,74.0,70.0,5.4
1.6,108.0,83.0,6.7
2.7,150.0,92.0,12.2
2.3,157.0,103.0,10.2
1.5,93.0,82.0,6.7
1.4,76.0,74.0,5.7
1.0,57.0,67.0,4.1
1.1,64.0,74.0,4.7
1.2,59.0,72.0,5.2
1.2,68.0,79.0,5.1
0.7,31.0,43.0,2.8
0.5,21.0,33.0,1.4
0.4,21.0,33.0,1.0
0.4,24.0,38.0,2.0
0.5,38.0,51.0,3.0
1.0,92.0,69.0,7.5
4.4,311.0,116.0,24.7
4.0,260.0,119.0,24.8
2.4,181.0,96.0,10.9
2.1,177.0,109.0,11.9
2.7,180.0,115.0,16.0
2.8,174.0,118.0,15.7
2.3,140.0,118.0,13.1
2.0,122.0,112.0,12.2
2.6,189.0,140.0,15.8
2.7,169.0,137.0,16.6
3.1,172.0,143.0,18.4
3.1,154.0,148.0,16.7
3.6,192.0,158.0,20.8
2.9,160.0,127.0,15.3
2.2,110.0,109.0,11.5
2.0,97.0,101.0,10.1
2.1,124.0,114.0,10.4
1.9,108.0,104.0,9.4
1.4,61.0,81.0,6.9
0.8,34.0,51.0,4.0
0.6,34.0,51.0,3.0
0.6,24.0,40.0,2.6
0.5,27.0,34.0,2.4
1.0,70.0,61.0,6.8
2.7,176.0,95.0,18.9
5.0,310.0,142.0,30.2
3.3,221.0,128.0,14.9
2.4,168.0,115.0,12.2
1.7,109.0,84.0,8.3
1.7,102.0,85.0,9.0
2.4,129.0,110.0,13.7
2.2,117.0,107.0,14.1
2.2,112.0,107.0,12.0
2.3,122.0,113.0,12.2
2.6,114.0,107.0,13.1
2.3,111.0,106.0,12.6
3.3,158.0,125.0,18.3
3.5,202.0,139.0,17.2
2.5,166.0,117.0,12.9
2.5,143.0,107.0,13.7
2.4,122.0,98.0,13.4
2.5,113.0,97.0,13.5
2.1,109.0,95.0,9.9
1.0,53.0,68.0,4.4
0.8,53.0,68.0,4.3
0.8,32.0,51.0,3.3
0.5,35.0,44.0,3.4
1.3,123.0,77.0,9.3
3.6,254.0,100.0,23.4
4.8,300.0,125.0,27.7
3.7,281.0,154.0,22.1
1.9,169.0,125.0,10.0
1.7,152.0,117.0,8.9
1.9,127.0,105.0,9.8
1.8,118.0,103.0,9.4
1.7,120.0,106.0,9.8
1.8,125.0,107.0,9.5
1.7,117.0,102.0,9.5
2.8,166.0,124.0,15.4
3.6,180.0,133.0,19.4
3.3,172.0,125.0,16.5
2.9,160.0,124.0,14.3
1.7,103.0,97.0,8.2
1.7,87.0,94.0,8.7
2.8,147.0,120.0,15.2
1.8,120.0,105.0,10.6
1.0,63.0,81.0,6.0
0.5,30.0,43.0,3.1
0.4,30.0,43.0,2.5
0.3,19.0,32.0,1.8
0.4,27.0,36.0,2.6
0.8,65.0,59.0,6.5
2.2,169.0,92.0,14.5
4.4,244.0,121.0,28.8
3.7,274.0,151.0,21.3
2.5,202.0,142.0,14.9
2.5,186.0,141.0,15.6
2.3,153.0,129.0,14.3
2.0,112.0,106.0,12.6
2.0,117.0,125.0,13.4
2.1,109.0,126.0,12.6
2.4,133.0,147.0,14.8
3.1,185.0,180.0,18.6
2.9,167.0,164.0,16.7
3.5,218.0,180.0,20.8
2.9,171.0,153.0,16.0
1.5,78.0,105.0,7.6
1.7,84.0,98.0,10.2
2.2,110.0,107.0,13.8
1.6,87.0,87.0,10.4
1.0,58.0,80.0,6.5
0.6,39.0,62.0,4.3
0.6,39.0,62.0,3.4
0.6,38.0,54.0,3.9
0.5,41.0,56.0,3.0
0.5,47.0,62.0,3.2
0.9,72.0,72.0,5.6
1.4,100.0,86.0,9.1
1.6,104.0,99.0,9.7
1.6,109.0,98.0,8.6
1.7,103.0,102.0,9.6
1.7,75.0,84.0,9.8
1.5,72.0,83.0,10.3
1.2,56.0,68.0,10.3
1.2,51.0,63.0,10.3
1.1,52.0,65.0,10.3
1.0,46.0,63.0,10.3
1.1,44.0,56.0,10.3
1.6,72.0,77.0,10.3
1.7,88.0,91.0,10.3
1.4,56.0,70.0,10.3
1.7,82.0,95.0,10.3
2.4,125.0,113.0,10.3
2.3,144.0,109.0,10.3
1.2,54.0,65.0,10.3
1.0,48.0,60.0,10.3
1.4,48.0,60.0,10.3
1.4,41.0,62.0,10.3
1.0,40.0,60.0,10.3
0.9,48.0,65.0,10.3
0.8,44.0,55.0,10.3
1.0,59.0,66.0,10.3
1.2,59.0,67.0,10.3
1.2,53.0,64.0,10.3
1.0,42.0,59.0,10.3
1.0,43.0,59.0,10.3
0.6,23.0,36.0,10.3
0.7,22.0,35.0,10.3
0.8,37.0,54.0,10.3
1.1,53.0,71.0,10.3
1.4,68.0,86.0,10.3
2.8,125.0,114.0,10.3
2.5,96.0,105.0,10.3
1.6,75.0,87.0,10.3
1.4,74.0,85.0,10.3
2.3,92.0,91.0,10.3
4.2,136.0,108.0,10.3
3.0,119.0,99.0,10.3
2.2,76.0,83.0,10.3
0.6,21.0,36.0,10.3
0.3,21.0,36.0,10.3
0.3,15.0,24.0,1.5
0.5,52.0,43.0,3.5
1.3,85.0,64.0,8.3
2.5,177.0,91.0,17.3
3.7,232.0,109.0,23.3
2.5,201.0,110.0,13.8
1.8,134.0,111.0,10.2
1.5,104.0,106.0,7.9
1.5,89.0,104.0,8.8
1.2,66.0,76.0,7.2
1.4,85.0,84.0,8.3
1.6,105.0,102.0,9.6
1.6,99.0,102.0,9.0
2.2,132.0,124.0,12.4
3.0,186.0,147.0,15.3
3.0,174.0,138.0,16.1
2.7,149.0,126.0,14.1
2.1,114.0,112.0,11.4
1.6,92.0,95.0,9.5
1.3,75.0,80.0,7.4
1.1,74.0,79.0,6.4
0.7,35.0,49.0,4.1
0.4,22.0,36.0,1.9
0.2,22.0,36.0,1.4
0.2,24.0,40.0,1.2
0.3,30.0,37.0,2.2
0.9,93.0,67.0,6.4
3.1,332.0,106.0,18.5
5.0,387.0,134.0,30.2
2.8,267.0,123.0,14.2
2.8,269.0,136.0,14.3
2.1,193.0,109.0,12.6
3.1,239.0,144.0,18.0
3.0,232.0,154.0,17.1
2.1,152.0,126.0,13.0
1.7,115.0,98.0,11.2
2.2,169.0,120.0,13.6
3.5,226.0,145.0,20.5
3.6,218.0,139.0,20.2
4.1,245.0,148.0,23.1
4.0,236.0,139.0,20.3
1.8,104.0,93.0,9.3
1.7,104.0,96.0,10.5
2.4,144.0,104.0,13.6
1.2,79.0,83.0,8.0
0.8,51.0,66.0,4.6
0.5,38.0,55.0,3.2
0.3,38.0,55.0,2.4
0.3,24.0,37.0,2.1
0.4,30.0,40.0,2.2
1.0,73.0,51.0,6.7
3.8,305.0,117.0,23.1
3.2,295.0,110.0,19.0
3.5,331.0,136.0,20.1
3.2,304.0,152.0,16.4
2.3,210.0,119.0,13.0
2.2,163.0,106.0,13.1
2.1,132.0,101.0,11.8
1.9,126.0,110.0,12.7
2.4,150.0,124.0,14.1
2.5,171.0,137.0,14.4
3.6,234.0,159.0,20.7
3.9,251.0,152.0,21.6
4.4,294.0,166.0,24.2
4.8,300.0,163.0,21.8
2.5,159.0,121.0,13.0
2.8,176.0,125.0,15.1
3.2,192.0,120.0,16.6
2.6,152.0,103.0,12.7
1.5,63.0,64.0,8.6
1.0,35.0,44.0,5.3
0.8,35.0,44.0,3.6
0.6,21.0,35.0,2.8
0.6,41.0,46.0,3.1
0.7,48.0,54.0,3.7
1.2,102.0,68.0,6.9
1.5,111.0,77.0,8.6
1.3,93.0,74.0,7.1
1.6,118.0,92.0,6.6
1.5,93.0,83.0,7.2
1.2,56.0,58.0,5.0
1.1,51.0,55.0,5.7
1.2,52.0,61.0,6.0
1.3,59.0,65.0,6.1
1.4,62.0,74.0,8.0
1.6,85.0,89.0,7.8
2.1,109.0,103.0,11.1
3.0,168.0,128.0,15.9
2.8,166.0,122.0,13.7
3.8,149.0,125.0,21.6
3.2,118.0,119.0,16.8
4.1,160.0,126.0,20.5
2.6,124.0,100.0,14.1
2.0,95.0,94.0,10.9
0.9,34.0,52.0,3.6
0.7,34.0,52.0,3.3
0.6,45.0,64.0,2.4
0.6,35.0,46.0,3.0
1.6,141.0,88.0,8.9
2.6,199.0,104.0,14.8
2.9,224.0,125.0,16.2
2.8,245.0,151.0,14.6
1.9,153.0,113.0,8.0
1.9,145.0,102.0,9.1
2.1,130.0,108.0,10.0
1.9,95.0,93.0,9.8
1.6,88.0,89.0,8.3
1.6,89.0,84.0,7.5
2.1,127.0,111.0,11.7
2.4,149.0,115.0,13.3
2.8,170.0,127.0,14.4
3.4,210.0,129.0,17.9
3.4,230.0,140.0,15.9
2.7,203.0,137.0,14.2
2.6,174.0,130.0,13.8
2.3,164.0,121.0,11.7
1.2,76.0,79.0,6.2
1.0,52.0,69.0,5.1
0.9,47.0,61.0,4.5
1.1,47.0,61.0,4.9
1.1,37.0,58.0,2.5
0.4,41.0,58.0,2.3
0.9,74.0,70.0,5.5
1.8,168.0,104.0,10.4
2.2,176.0,109.0,12.4
2.4,184.0,129.0,14.0
2.3,187.0,144.0,12.7
1.6,118.0,101.0,9.0
1.4,89.0,90.0,8.5
1.4,70.0,86.0,8.2
1.0,51.0,69.0,5.9
1.0,52.0,65.0,5.6
1.2,70.0,73.0,6.7
1.3,80.0,73.0,6.1
1.5,90.0,78.0,6.7
1.9,111.0,98.0,9.2
1.8,107.0,99.0,8.2
1.4,73.0,83.0,7.0
1.7,75.0,88.0,9.5
2.7,144.0,117.0,15.1
2.1,120.0,97.0,11.7
1.4,71.0,75.0,9.3
1.0,40.0,53.0,6.4
1.0,40.0,53.0,6.7
0.8,34.0,45.0,4.2
0.5,27.0,42.0,2.6
0.6,30.0,44.0,2.8
0.6,40.0,50.0,3.1
1.0,56.0,60.0,6.2
1.6,104.0,100.0,7.9
1.9,121.0,111.0,10.5
1.7,100.0,110.0,9.0
1.1,59.0,74.0,6.3
0.8,42.0,56.0,3.5
0.7,38.0,50.0,4.0
0.7,40.0,54.0,4.2
1.2,70.0,90.0,6.9
1.6,95.0,109.0,7.9
1.6,90.0,110.0,7.9
1.7,90.0,103.0,10.3
2.0,111.0,120.0,10.5
2.3,135.0,134.0,12.7
2.4,146.0,137.0,11.9
1.7,100.0,99.0,9.3
1.2,69.0,78.0,7.9
1.0,47.0,63.0,5.0
0.6,26.0,41.0,3.4
0.5,26.0,41.0,3.2
0.4,24.0,39.0,2.7
0.5,55.0,60.0,3.1
0.7,47.0,54.0,5.0
3.2,209.0,119.0,20.7
5.6,348.0,159.0,32.4
